"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
0,24.9947347813924,39.3634070654873,76.9524500998893,115.314965112978,186.312929800298,233.624586363353,270.331280583873,290.045688357122,301.990316980372,337.367193277298,361.795693421588,333.215747583695,305.934475975996,277.118789969524,208.873667096803,137.620219852873,97.0293868047093
0.002,23.6409734993027,38.2260211500682,74.0229442076649,108.936805141317,178.904543123572,219.944693126678,254.095171228663,273.490359434556,280.804823781527,324.080919654019,342.033509607933,326.503452769512,291.600406035596,264.374509315809,209.125502660103,140.806726524586,95.6840635796401
0.004,20.8558806632814,35.4709031962131,64.6559595968667,103.8253934094,166.921812714935,206.8840772612,234.716161355728,255.852840483377,276.126613495193,297.007486550728,331.37083649878,303.993464544358,283.271617483969,262.596291775242,202.317099499971,134.801573368283,95.041144113211
0.006,20.760857506841,31.8361455879491,58.7938318865989,97.4466046907977,159.035302445885,187.753358855321,220.019020629102,232.508934807001,251.762877283089,281.461391979036,310.297299607939,297.792641261962,279.549395360669,256.914859370889,202.105088152057,135.252694534733,89.9523248636011
0.008,20.4953953423788,29.5278485487224,54.1581419265746,88.7795257237756,145.571481661759,178.372607780634,199.653530330254,211.155876130083,242.793632828304,260.894862614044,289.402504649374,280.065138516287,274.133375386599,247.331680314581,195.152780360158,134.528481755501,89.7298073781777
0.01,17.3149454200618,27.4751028367406,49.1360638193107,84.6561977201116,134.4870788382,160.034455108522,189.740236441171,199.525754082204,229.68562717499,238.94649024563,269.70127023129,267.560853202844,268.432173784153,238.561185956765,188.189362039186,128.708223803677,89.1652623586454
0.012,17.0162027944847,26.4926290318993,44.0517305139848,76.4698856310541,123.707058046772,141.438454457178,178.37381539568,186.187845914638,222.088226218279,227.375678977562,250.700021814168,257.73138216793,259.876932921772,236.272289099407,184.748073295556,125.23967762608,87.3972849445959
0.014,14.8457509622858,26.380470779744,41.7097661312891,72.7916590411932,114.800463835605,123.969164393704,167.691758959586,175.523800762091,205.445920788133,208.822180181824,246.266548491905,245.880090029218,240.618464920422,231.928081063234,182.632713269493,122.355965380428,81.6731215332219
0.016,13.1033516208199,23.7777980246715,37.6512822209299,69.2972438608863,101.657561175862,115.17837338057,155.309071256904,163.830307735247,188.563244950186,194.347306196502,225.500830494419,231.091515664623,232.349382878275,228.902697481753,180.398549710177,118.553410264188,90.1007487926022
0.018,11.0447893147695,19.5924384984033,31.1441421332056,61.2957941865498,90.4019035730046,104.926847979915,143.05196797603,151.088917099876,172.451827379596,178.507484368293,215.907118115058,222.479110375588,237.553847215633,220.869811424959,175.643518394327,120.893936632659,78.2056379734281
0.02,9.06990528812983,19.2494695282991,25.4384102374526,56.0965714181804,75.1119121431948,94.507290722258,131.14736347084,139.733301766432,158.778447601653,165.380473048545,209.866201930348,216.524141258052,228.087885284496,215.540582865503,173.535334075546,119.417655020393,79.5021192251573
