"q15","q25","q50","q75","q85"
"wkless13","hsorged^4","hsorged","hsorged","hsorged"
"black*married","wkless13","hsorged^2","wkless13","wkless13"
"black*hsorged","black*married","hsorged^3","black*married","black*married"
"hispanic*married","black*hsorged","wkless13","black*wkless13","black*wkless13"
"hispanic*wkless13","hispanic*wkless13","black*married","hispanic*wkless13","hispanic*married"
"afdc","afdc","hispanic*hsorged","afdc","hispanic*wkless13"
"afdc*hsorged","afdc*hsorged","hispanic*wkless13","afdc*married","afdc"
"afdc*wkless13","afdc*wkless13","afdc","age2225*married","afdc*married"
"age2225","age2225*married","afdc*hsorged","age2629*hsorged","age2629*hsorged"
"age2225*married","age2225*hsorged","age2225*married","age2629*wkless13","age2629*wkless13"
"age2225*hsorged","age2629*hsorged","age2225*wkless13","age3035*married","age3035"
"age2225*wkless13","age3035*married","age3035*married","age3035*hsorged","age3035*married"
"age2629","age3644*wkless13","age3644*hsorged","age3644*hsorged","age3035*hsorged"
"age3035*married","age4554","age4554*hsorged","age4554*hsorged","age3644*hsorged"
"age3644*wkless13","age4554*married","age4554*wkless13","class_tr","age4554*married"
"age4554*married","age4554*hsorged","class_tr","class_tr*married","age4554*hsorged"
"age4554*hsorged","class_tr","class_tr*married","class_tr*wkless13","age4554*wkless13"
"class_tr","class_tr*married","ojt_jsa","ojt_jsa","class_tr"
"class_tr*married","class_tr*wkless13","ojt_jsa*hsorged","ojt_jsa*hsorged","class_tr*married"
"class_tr*hsorged","ojt_jsa","f2sms","f2sms*wkless13","class_tr*wkless13"
"ojt_jsa","ojt_jsa*hsorged","f2sms*hsorged",NA,"ojt_jsa"
"ojt_jsa*hsorged","ojt_jsa*wkless13","f2sms*wkless13",NA,"ojt_jsa*hsorged"
"ojt_jsa*wkless13","f2sms","powerthesholdhsorged20",NA,"f2sms"
"f2sms","f2sms*married","thesholdhsorged40",NA,NA
"f2sms*hsorged","f2sms*hsorged",NA,NA,NA
"f2sms*wkless13","f2sms*wkless13",NA,NA,NA
"powerthesholdhsorged60","powerthesholdhsorged40",NA,NA,NA
"powerthesholdhsorged60","powerthesholdhsorged60",NA,NA,NA
"cubicthesholdhsorged40",NA,NA,NA,NA
"cubicthesholdhsorged60",NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
