"q15","q25","q50","q75","q85"
"married^4","married^4","married^4","married^4","married^4"
"hsorged^4","hsorged","hsorged","hsorged","hsorged"
"wkless13","hsorged^2","hsorged^2","wkless13","wkless13"
"black","wkless13","wkless13","black","black*married"
"black*wkless13","black","black","black*hsorged","black*hsorged"
"hispanic*married","black*wkless13","black*hsorged","hispanic*married","black*wkless13"
"hispanic*hsorged","hispanic*married","black*wkless13","hispanic*hsorged","hispanic*hsorged"
"hispanic*wkless13","hispanic*hsorged","hispanic*married","afdc","hispanic*wkless13"
"afdc*wkless13","hispanic*wkless13","hispanic*hsorged","afdc*hsorged","afdc"
"age2225","afdc","afdc","afdc*wkless13","afdc*hsorged"
"age2225*married","afdc*married","afdc*hsorged","age2225","afdc*wkless13"
"age2225*hsorged","afdc*wkless13","afdc*wkless13","age2225*married","age2225*married"
"age2225*wkless13","age2225","age2225","age2225*hsorged","age2225*hsorged"
"age2629","age2225*married","age2225*married","age2225*wkless13","age2225*wkless13"
"age2629*married","age2225*hsorged","age2225*hsorged","age2629","age2629"
"age2629*hsorged","age2629","age2629","age2629*married","age2629*married"
"age2629*wkless13","age2629*married","age2629*hsorged","age3035*married","age3035*married"
"age3035*married","age2629*hsorged","age3035*married","age3035*wkless13","age3035*wkless13"
"age3035*hsorged","age2629*wkless13","age3035*hsorged","age3644*married","age3644*married"
"age3644","age3035*married","age3035*wkless13","age4554","age3644*hsorged"
"age4554","age3035*hsorged","age3644*hsorged","age4554*married","age4554*wkless13"
"age4554*married","age3644*hsorged","age4554","class_tr*married","class_tr*hsorged"
"class_tr","age4554","class_tr*hsorged","class_tr*hsorged","class_tr*wkless13"
"ojt_jsa","age4554*married","ojt_jsa*hsorged","ojt_jsa*married","ojt_jsa"
"f2sms","class_tr","f2sms","ojt_jsa*hsorged","ojt_jsa*married"
"f2sms*married","ojt_jsa*hsorged","f2sms*married","f2sms","ojt_jsa*hsorged"
"f2sms*hsorged","f2sms","f2sms*hsorged","f2sms*married","f2sms"
"f2sms*wkless13","f2sms*married","f2sms*wkless13","f2sms*hsorged","f2sms*married"
"thesholdmarried40","f2sms*hsorged","thesholdmarried40","thesholdmarried40","f2sms*hsorged"
"powerthesholdhsorged60","f2sms*wkless13","powerthesholdhsorged20",NA,"f2sms*wkless13"
"thesholdwkless1360","thesholdmarried40","cubicthesholdmarried20",NA,"thesholdmarried40"
NA,NA,"thesholdhsorged20",NA,NA
NA,NA,"thesholdhsorged40",NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
