"q15","q25","q50","q75","q85"
"ira","ira","age","ira","ira"
"educ^2","hmort","ira","age*inc","age*inc"
"fsize^3","age*hmort","age*fsize","hval*inc","educ*inc"
"hval^3","age*inc","age*ira","pira*inc","hval*inc"
"educ^3","fsize*hmort","age*inc","pira*age","pira*inc"
"age*educ","fsize*inc","fsize*educ",NA,NA
"age*hmort","ira*educ","fsize*hmort",NA,NA
"age*inc","ira*inc","ira*educ",NA,NA
"fsize*hmort","hval*inc","ira*inc",NA,NA
"fsize*inc","db","hval*inc",NA,NA
"ira*educ","smcol","hown",NA,NA
"ira*inc","male","male",NA,NA
"hval*inc","i2","i3",NA,NA
"marr","i3","i4",NA,NA
"db","i4","a1",NA,NA
"male","i5","a2",NA,NA
"i2","a2","a4",NA,NA
"i3","a3","pira*inc",NA,NA
"i4","twoearn","pira*fsize",NA,NA
"i5","pira*inc","twoearn*inc",NA,NA
"twoearn","pira*age","twoearn*fsize",NA,NA
"marr*fsize","pira*fsize","twoearn*hmort",NA,NA
"pira*inc","twoearn*inc","twoearn*educ",NA,NA
"pira*educ","twoearn*ira","thesholdinc20",NA,NA
"twoearn*inc","twoearn*hmort",NA,NA,NA
"twoearn*ira","powerthesholdage20",NA,NA,NA
"cubicthesholdage20","thesholdage60",NA,NA,NA
"powerthesholdage20","powerthesholdinc20",NA,NA,NA
"thesholdage60","thesholdinc40",NA,NA,NA
"cubicthesholdinc20","thesholdinc20",NA,NA,NA
"powerthesholdinc20","thesholdeduc20",NA,NA,NA
"cubicthesholdeduc20",NA,NA,NA,NA
"thesholdeduc20",NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
