"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
0,15.1975058187834,52.6741353920669,68.3877605822044,112.312458952547,151.36368155689,163.945530016678,178.56476600348,203.129585127449,195.059785876934,204.590797408537,175.365960001446,157.858452901477,140.62644415713,95.5110303567212,58.7479762733597,44.912237131881,16.8513852924223
0.001,13.3526241664428,52.86773425445,65.0387507724256,105.230989410687,141.801153650224,156.78859421713,173.350362112875,189.558844247771,188.141249128965,194.458474399361,175.089749955835,161.93364218035,139.160287748161,92.0902153023995,58.0895198983049,44.5177473277681,22.2444878278952
0.002,11.5384257361062,47.8263268049979,62.2591338063855,99.4989200947843,133.332170423202,150.258134318998,162.084371317259,184.378343543365,181.876450662858,187.558353850451,167.945289948532,154.839926919124,135.011325147075,91.8315236294906,58.4291982012381,44.3613483616115,18.3655274131505
0.003,11.1899331422976,45.4960712764437,56.8372029659552,90.4923515763219,125.871941847268,140.645480889083,154.906734463699,181.359235048901,177.024456966851,184.291240170902,166.944931702593,149.19222177168,131.07618897921,89.294031160134,57.3896666263977,43.6311134285048,17.7055074089594
0.004,10.3758535743236,42.4410711932748,53.7422107985031,85.4147532646825,117.313183501924,135.197725692581,150.228832418366,176.008471917018,169.442523845189,178.93728555926,160.875808788004,146.265106739792,130.256240222756,88.1111212171848,55.5714375466344,42.0226519120441,17.1354064145135
0.005,9.21598473574399,38.7902556697582,49.4816139125015,77.1051046649438,107.518147496737,127.259360692936,143.757645772578,167.70328057049,159.966873268141,169.847857429214,155.96032943585,138.819068972698,124.496450258484,85.3235594220015,56.0924699830853,40.7858205512859,16.7988289285708
0.006,8.20429781694022,35.8958172640509,44.8632613277727,70.9901486106051,102.386483865128,119.416782558965,136.831291627015,165.114967310513,156.196248872521,165.327475267938,147.32024420014,137.323851620289,118.463799607898,85.4291684033458,53.5583511222647,39.5125750103774,16.3822311751258
0.007,7.54136694486495,32.1867243600028,42.0969678664463,66.4450303615972,95.7631877211804,115.903463876152,129.819768015961,154.075957529515,150.468586318866,161.284886732621,142.850507145665,133.522409248107,117.290105092744,81.2938025257321,53.0262653394116,40.4738314703977,16.372365889914
0.008,7.29365759725757,28.4660009996168,39.9408054904395,63.7913307784646,86.0746168212708,106.616178101111,123.719782099307,145.645101273667,145.475064333967,157.645439723498,143.703810091701,129.123797226696,113.907242124398,80.5879728354582,52.2835521401599,37.3036247702445,16.6243345188506
0.009,6.55031273696559,26.3150711552597,35.6618732289204,58.465536403476,79.0091698405286,99.4907448165996,116.960242927946,138.666824167763,142.454371025966,146.084947013365,135.926457414014,124.60415471239,110.24941703105,78.4853792447732,51.6631644996607,36.1344666406243,16.0379883034222
