"grid","nfta10","grid.1","nfta15","grid.2","nfta20","grid.3","nfta25","grid.4","nfta30","grid.5","nfta35","grid.6","nfta40","grid.7","nfta45","grid.8","nfta50","grid.9","nfta55","grid.10","nfta60","grid.11","nfta65","grid.12","nfta70","grid.13","nfta75","grid.14","nfta80","grid.15","nfta85","grid.16","nfta90"
0,33.4275244225108,0,34.7748658176302,0,78.0100486747251,0,115.678270414439,0,154.247970938957,0,210.724151277509,0,262.317711412998,0,292.545297849786,0.05,52.9589988580046,0.05,67.2908786133213,0.05,84.6729577313214,0.05,112.413299185561,0.05,119.763290633882,0.05,125.814983224741,0.05,122.952144152649,0.05,100.888923413688,0.05,44.5751120730911
0.001,32.0997333798713,0.001,34.0563498425875,0.001,74.5533804481912,0.001,115.080293284361,0.001,150.432501566377,0.001,210.778902682861,0.001,256.403184369183,0.001,300.462015845669,0.051,48.118117959643,0.051,67.9520140128796,0.051,81.3651724816683,0.051,111.201257643097,0.051,117.172647619246,0.051,115.581648401381,0.051,122.407392364954,0.051,102.80831239789,0.051,67.6149491399183
0.002,31.5951256358144,0.002,34.2987437133919,0.002,70.1463534982065,0.002,113.979486896984,0.002,145.210963094779,0.002,204.105158473153,0.002,249.60969454949,0.002,291.217467245224,0.052,47.3830523326927,0.052,61.4593286437476,0.052,78.6916072575421,0.052,106.308008712662,0.052,115.670796441242,0.052,118.910798908087,0.052,113.010531247343,0.052,101.263811440033,0.052,43.8764668874781
0.003,30.6865888518851,0.003,33.0605586897232,0.003,68.2532385158374,0.003,111.056504737084,0.003,139.942900870722,0.003,193.006456665763,0.003,241.778185798019,0.003,273.896136989276,0.053,45.2171811231969,0.053,58.901489867951,0.053,79.1049550499906,0.053,101.446715501523,0.053,115.373929250454,0.053,119.009630011756,0.053,117.245683369947,0.053,101.244610290763,0.053,42.1720237489442
0.004,29.9719827092771,0.004,31.4564149404525,0.004,66.2419833329844,0.004,108.724946987916,0.004,136.436062646926,0.004,186.233573938848,0.004,233.338683220028,0.004,279.098416316293,0.054,43.2241996385968,0.054,56.4791374191467,0.054,78.3847787335829,0.054,103.4831158515,0.054,114.734878346931,0.054,119.375462449036,0.054,117.050601491004,0.054,99.2413432277302,0.054,44.7294768160249
0.005,29.7688700369491,0.005,30.8153430155471,0.005,64.248647125502,0.005,104.713131539069,0.005,130.638611818959,0.005,183.683250385375,0.005,217.937565424881,0.005,269.538669985407,0.055,40.2770430550928,0.055,53.8179202460473,0.055,76.0412145971458,0.055,101.421792034157,0.055,113.58637026681,0.055,118.390884287519,0.055,116.910650359489,0.055,98.0556324456329,0.055,42.9481235419643
0.006,29.2893439786306,0.006,31.4455694520497,0.006,63.4966802491062,0.006,102.360639399875,0.006,127.852359153458,0.006,172.218118808085,0.006,210.208036123161,0.006,259.699650560055,0.056,38.0291674891395,0.056,50.9961821244142,0.056,70.6741485237008,0.056,99.9083998512374,0.056,109.738248011216,0.056,118.410259316787,0.056,115.475652712994,0.056,98.2082585829043,0.056,44.244995906791
0.007,28.3649101834737,0.007,30.4947055611056,0.007,61.9411628036293,0.007,101.02550096819,0.007,121.693165898993,0.007,168.472009957008,0.007,207.275956457647,0.007,242.262573556305,0.057,37.3467118658256,0.057,48.3446526544054,0.057,66.4666665553149,0.057,101.43795992705,0.057,109.529918977381,0.057,115.10803722868,0.057,113.925636927314,0.057,96.3543652863484,0.057,42.0976265857501
0.008,22.9145916316161,0.008,30.2338161416828,0.008,59.9647634129562,0.008,94.4784732464569,0.008,115.83195962069,0.008,161.007954537552,0.008,201.638380454934,0.008,239.196472772301,0.058,34.9708746700029,0.058,47.4192561838044,0.058,68.7704984916438,0.058,99.5653925219857,0.058,109.798805810174,0.058,115.316444549935,0.058,115.18445709916,0.058,96.647489401924,0.058,42.3014119359963
0.009,26.2099008377325,0.009,28.3650377362894,0.009,58.1000213276132,0.009,91.7213878281737,0.009,113.436654809953,0.009,157.313105705991,0.009,193.711718847171,0.009,182.758004820076,0.059,33.3416458015302,0.059,48.3381071318184,0.059,59.5315178947707,0.059,96.152160419313,0.059,106.981405379302,0.059,113.595350534313,0.059,113.082107843663,0.059,96.7008218852847,0.059,42.3877549018428
0.01,21.3609966734485,0.01,27.7102840297297,0.01,56.474473490493,0.01,91.1207752276985,0.01,105.705311981915,0.01,151.156520038773,0.01,188.968167044853,0.01,224.241918259707,0.06,31.0228019135766,0.06,44.1673982818787,0.06,60.6456375503213,0.06,94.4858187224454,0.06,106.601620618441,0.06,111.848349628432,0.06,107.506839938099,0.06,94.6310992330851,0.06,42.2725582774311
0.011,22.4560478528227,0.011,28.4879470842458,0.011,54.1157185997,0.011,82.2487853106473,0.011,98.9100419322969,0.011,144.272540168688,0.011,175.496876111778,0.011,212.805325665359,0.061,28.6764909497632,0.061,44.0904831224797,0.061,59.9279425306513,0.061,92.5778964812405,0.061,106.580075590276,0.061,110.997463128516,0.061,109.365083953279,0.061,95.6617975831358,0.061,43.741768223205
0.012,23.0989021109964,0.012,26.4582143148362,0.012,52.1762104617716,0.012,77.9519656507038,0.012,96.202791148834,0.012,136.65486142628,0.012,170.955096921056,0.012,207.762430484672,0.062,28.4082004162431,0.062,42.1246538934364,0.062,57.8216029173297,0.062,90.7779366219742,0.062,103.101226868652,0.062,109.341925435023,0.062,110.463860541188,0.062,93.1288395613661,0.062,42.4280252950404
0.013,18.7940057996435,0.013,25.9587853795065,0.013,49.8256941094801,0.013,75.624955261404,0.013,92.5210316685651,0.013,127.507250801336,0.013,165.537039313213,0.013,199.328714675566,0.063,26.1695125865424,0.063,42.6224703026008,0.063,55.3312559293802,0.063,91.6646834804671,0.063,104.615091278063,0.063,108.849826018098,0.063,110.080680491662,0.063,95.3967646904623,0.063,63.2275573694136
0.014,20.0613140858199,0.014,23.8249170895332,0.014,46.4527517212602,0.014,73.2129953956887,0.014,88.026911431673,0.014,122.302384180283,0.014,154.104245606915,0.014,194.076783841379,0.064,24.2647792186781,0.064,39.6750573657719,0.064,59.1614581215557,0.064,89.41057961304,0.064,102.350344717317,0.064,108.202017811114,0.064,106.831246196426,0.064,92.3526738137716,0.064,42.5403897051345
0.015,16.024977464159,0.015,23.8402942123487,0.015,43.9354791921164,0.015,71.1364265794637,0.015,86.6323041050828,0.015,118.192358735833,0.015,149.836779633764,0.015,186.375777030677,0.065,23.78063415886,0.065,38.3123004474252,0.065,57.5821172888377,0.065,86.4131682875279,0.065,99.8267108718584,0.065,107.230858735083,0.065,109.082566866659,0.065,94.047347605174,0.065,41.5911708065127
0.016,20.2785664006611,0.016,22.0227405833681,0.016,41.0289120985024,0.016,64.9115174274999,0.016,81.8994659337228,0.016,112.092918608629,0.016,145.209800861518,0.016,179.642035759649,0.066,21.5622698668223,0.066,37.1753240992389,0.066,58.1351152280452,0.066,84.2900439308149,0.066,99.1203138715666,0.066,106.082723095682,0.066,98.709984013559,0.066,91.0415977013201,0.066,41.6339962464061
