"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
-5000,1e+09,175.041162187898,206.32096103933,1e+09,1e+09,1e+09,1e+09,99.7541214866994,70.1861978675221,60.8968250267734,59.3443403202639,62.5912650032536,58.0593459463232,45.0829648114197,33.2731207025052,24.9824314531677,23.7331061900906
-4900,1e+09,144.203893612579,1e+09,1e+09,1e+09,1e+09,1e+09,97.6954675375733,1e+09,57.2645602131898,1e+09,60.1464444088953,58.6294540768262,48.4755762768154,31.3127548546752,27.6491102114268,20.6406797534736
-4800,1e+09,1e+09,187.212189947881,1e+09,1e+09,1e+09,1e+09,93.2694713192521,75.1334129608685,55.5173197677772,60.7566587879901,1e+09,54.8438131228933,42.5624380356221,33.5050820269032,27.1459592757711,19.3988912101604
-4700,1e+09,153.975149966028,1e+09,1e+09,1e+09,1e+09,1e+09,89.3074827321895,72.0353217074476,1e+09,1e+09,1e+09,52.743112770758,41.2819224270438,32.0965245227433,24.2232327053626,1e+09
-4600,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,115.267775604061,86.9044309633985,78.9594307867335,1e+09,1e+09,1e+09,50.6026978251893,44.2119529129885,30.4123053035579,29.3963197322844,18.2900282238931
-4500,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,92.871400584715,75.5126425689085,1e+09,1e+09,57.7426816674571,51.4461128606774,37.1558163707256,32.1372133240063,25.8427165870153,17.2503685283225
-4400,1e+09,1e+09,1e+09,1e+09,1e+09,128.919093605074,1e+09,86.0834289555519,67.0168947723336,1e+09,1e+09,1e+09,50.6881895064364,41.56689616885,30.3104970870355,20.9313023727002,18.4148713391568
-4300,1e+09,148.958720268093,179.197129781651,1e+09,1e+09,129.992916868351,1e+09,74.9117451420224,1e+09,1e+09,56.8615506034398,58.0743989027238,43.7749100433757,38.4703626146999,27.5368337174214,24.5663301596711,17.2523295222784
-4200,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,82.1811701493268,66.7983477634839,43.7103888858645,52.2653563991551,52.6007848124786,40.7895466606949,38.9170593787595,28.0715165760303,21.2158104987936,19.6227290274105
-4100,1e+09,149.632077824385,1e+09,1e+09,1e+09,128.459276418162,1e+09,75.7592032657013,65.6026141996136,43.2096570907571,1e+09,51.4248594265271,43.8627703980826,42.3557590341275,25.3954130222496,22.4709300424684,16.0442711171802
-4000,1e+09,1e+09,1e+09,1e+09,1e+09,130.86986320179,1e+09,74.7394590863199,1e+09,1e+09,1e+09,46.8507093634369,42.3682538370102,35.3383988234193,24.4787619284819,20.0637353064141,15.6947967861185
-3900,1e+09,134.932935876092,165.936179688266,1e+09,1e+09,122.962189317778,1e+09,71.1646187486852,1e+09,39.7650314849774,1e+09,1e+09,41.9904243147402,38.1263224601551,25.2206714636555,20.6100224134673,16.9275394427743
-3800,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,1e+09,73.8655366490637,1e+09,46.3065401348383,1e+09,1e+09,43.6566831016677,36.0147031618189,23.9141134670915,22.9161260494173,11.0851353745506
-3700,1e+09,131.925804635894,1e+09,1e+09,1e+09,110.377166357078,1e+09,69.2491939701194,1e+09,36.3727795192978,1e+09,1e+09,42.06283300479,33.1044591379965,21.9959523951759,20.345527229201,13.9995825769637
-3600,1e+09,1e+09,1e+09,1e+09,1e+09,110.617979061246,1e+09,65.6735488993438,54.01391674209,1e+09,1e+09,37.7204882446948,38.5030366692554,33.4616881570491,24.3945565917303,11.396865730457,12.0950774451881
-3500,100.434407621287,1e+09,1e+09,1e+09,1e+09,104.713095085948,1e+09,64.1088714626737,1e+09,35.7935111164934,1e+09,1e+09,36.6977712098851,30.0339894404289,22.806886630844,18.881055090545,15.2342398160155
-3400,1e+09,1e+09,1e+09,1e+09,1e+09,101.475708468814,1e+09,64.4190439294846,1e+09,1e+09,1e+09,35.9221009201006,37.5546733345863,28.6679573626957,20.9707915579575,15.710528061552,9.14026146769216
-3300,1e+09,132.997267659546,1e+09,1e+09,1e+09,1e+09,1e+09,51.324427994242,46.3979199088648,35.1557019851145,1e+09,1e+09,30.7054709736328,27.1906122764506,23.517630610351,15.578200267416,11.8376276071003
-3200,1e+09,1e+09,1e+09,1e+09,103.713438710205,88.455579484826,1e+09,55.6327797560838,1e+09,33.0002995832204,1e+09,37.4547395162043,36.5300833009835,29.8675222815777,20.666914598943,15.6338318844359,11.2856048450044
