"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
0,37.3119714430849,47.1350691217734,74.393156879683,120.980789757956,174.185713550141,203.378021063985,229.545954924498,273.65379781151,15.9202084582621,131.78882001709,349.784385662018,79.8931950545298,329.349625463332,315.147777483433,257.075124387427,197.481698561866,152.536901403077
100,30.5619063023032,48.5216350394272,78.7611955105047,120.441187234974,166.525683946222,201.768648179309,211.700715900282,257.174577573944,291.604882739339,47.8692956557385,340.34058285148,335.01381186548,307.461290642904,288.364551344246,267.715364857945,203.34573678945,154.166524356429
200,25.9724040325132,45.1332946341979,73.2626718664069,118.063633108352,153.234811997503,184.691062421461,212.829581323405,245.461645898325,281.478499631187,328.726723813583,55.6763793824309,76.8976109726915,304.081223834948,273.200516759005,235.693454620023,187.027119197836,157.522941798139
300,28.1999460175632,38.5186799515465,72.2498750296231,103.564231645887,146.715986551981,180.113084831232,205.087233035897,225.393451030525,268.913213612944,315.547562870317,42.0957937031617,71.421646776657,295.977172358134,286.634235485228,252.823722413812,195.78902031167,148.455899469401
400,28.2523590808721,43.6986022945067,61.8577423701944,101.785096085348,136.561176684744,161.096028765961,183.163662975331,215.486672304151,259.886147136401,41.8153718305583,306.225794268012,302.376525732073,280.670343387696,275.813278260736,240.194635792351,175.300819739976,148.112932961155
500,24.020337759686,40.5871426428496,61.9397192211223,100.792439427232,133.027848317951,153.993763276568,168.858483330739,212.966496694688,247.156312971098,289.13877938006,34.6371820685715,62.6755879730642,277.790954694828,254.775153918242,242.975622679243,184.948471081634,142.968135354979
600,22.4801789213359,35.7384678692883,56.9322000193053,99.3562710456295,128.623530167442,144.142974215981,163.180878901438,200.959724699477,239.292019898349,279.850042781726,25.7626938111115,281.517994551907,263.394289541314,249.67602746011,233.515757735171,178.54755420622,144.110971308601
700,24.7067277578665,34.2415901580315,56.2247811910446,90.5480297624133,117.339253303046,142.020816745987,159.200915333328,192.766019015015,226.646214937173,70.2052054750094,23.7376827713055,268.236448322332,258.808494164144,242.52160832766,235.959926190703,172.837744101766,139.855144189744
800,21.1597824662772,37.3763412955734,50.4029713814906,84.215192536295,109.089992261441,122.199770629825,150.759256215867,180.481766033631,211.754551190438,89.929993023633,251.864013368796,48.2443312743711,251.244884883988,232.772634344583,226.79427043473,183.75113274113,141.27430022861
900,16.9846559456176,34.5056431327334,46.4191139491358,75.1472233737179,104.458197441527,130.946178997858,138.86772647489,173.39211908506,199.846865742503,56.8262024279837,38.7726146796101,45.283126064011,242.572498499511,234.184940562878,225.602423178323,162.707014847234,142.719520410515
1000,17.5142072152431,27.9028804474948,41.8644898991779,74.1291788135036,97.6000988110853,117.116279082694,135.157123077738,155.961194882995,10.9157107992887,222.394932918019,22.1669960130695,33.2702408459622,228.798029794887,227.174785482665,219.622311847625,162.030587646573,125.823655514849
1100,13.0240569225006,32.9589827844451,42.5965893793586,67.4966687732991,86.4537628814157,107.293468444412,118.946648652,139.698219600142,185.505979862571,212.309759800327,21.2232859845257,40.4107869677112,238.244086984473,221.411694356625,223.955520514307,153.002323103018,138.266294944029
1200,12.0954382054671,26.2334667547117,36.8712251705378,60.871089849432,76.3114971165381,86.9370615124581,113.198023820504,131.515395647464,108.502463718337,33.0602690179321,18.7900860510716,38.083692195268,233.735441353772,226.988961604259,209.037800742058,163.572180124423,131.98398801163
