"q15","q25","q50","q75","q85"
"married","married","hsorged","hsorged","hsorged"
"married^4","married^4","wkless13","wkless13","wkless13"
"hsorged","hsorged^4","black*married","black*married","black"
"wkless13","wkless13","black*hsorged","black*wkless13","black*married"
"black","black","hispanic*hsorged","hispanic*wkless13","black*hsorged"
"black*married","black*married","hispanic*wkless13","afdc","black*wkless13"
"black*hsorged","black*hsorged","afdc","afdc*wkless13","hispanic*married"
"black*wkless13","black*wkless13","afdc*married","age2225*wkless13","hispanic*wkless13"
"hispanic","hispanic","afdc*hsorged","age2629*hsorged","afdc"
"hispanic*married","hispanic*married","afdc*wkless13","age3035","afdc*married"
"hispanic*hsorged","hispanic*hsorged","age2225*married","age3035*married","afdc*hsorged"
"hispanic*wkless13","hispanic*wkless13","age2225*hsorged","age3035*hsorged","afdc*wkless13"
"afdc","afdc","age2225*wkless13","age3644","age2225*hsorged"
"afdc*married","afdc*married","age2629","age3644*hsorged","age2225*wkless13"
"afdc*hsorged","afdc*hsorged","age2629*hsorged","age4554*wkless13","age2629"
"afdc*wkless13","afdc*wkless13","age2629*wkless13","class_tr","age2629*hsorged"
"age2225","age2225","age3035","class_tr*married","age2629*wkless13"
"age2225*married","age2225*married","age3035*married","class_tr*wkless13","age3035"
"age2225*hsorged","age2225*hsorged","age3035*wkless13","ojt_jsa","age3035*married"
"age2225*wkless13","age2225*wkless13","age3644","ojt_jsa*hsorged","age3035*hsorged"
"age2629","age2629","age3644*hsorged","ojt_jsa*wkless13","age3644"
"age2629*married","age2629*married","age3644*wkless13","f2sms*wkless13","age3644*married"
"age2629*hsorged","age2629*hsorged","class_tr",NA,"age3644*hsorged"
"age2629*wkless13","age2629*wkless13","class_tr*married",NA,"age4554"
"age3035","age3035","class_tr*wkless13",NA,"age4554*wkless13"
"age3035*married","age3035*married","ojt_jsa",NA,"class_tr"
"age3035*hsorged","age3035*hsorged","ojt_jsa*hsorged",NA,"class_tr*married"
"age3035*wkless13","age3035*wkless13","f2sms",NA,"class_tr*hsorged"
"age3644","age3644","f2sms*hsorged",NA,"class_tr*wkless13"
"age3644*married","age3644*married","f2sms*wkless13",NA,"ojt_jsa"
"age3644*hsorged","age3644*hsorged","cubicthesholdwkless1320",NA,"ojt_jsa*hsorged"
"age3644*wkless13","age3644*wkless13",NA,NA,"ojt_jsa*wkless13"
"age4554","age4554",NA,NA,"f2sms"
"age4554*married","age4554*married",NA,NA,"f2sms*married"
"age4554*hsorged","age4554*hsorged",NA,NA,"f2sms*wkless13"
"age4554*wkless13","age4554*wkless13",NA,NA,NA
"class_tr","class_tr",NA,NA,NA
"class_tr*married","class_tr*married",NA,NA,NA
"class_tr*hsorged","class_tr*wkless13",NA,NA,NA
"class_tr*wkless13","ojt_jsa",NA,NA,NA
"ojt_jsa","ojt_jsa*married",NA,NA,NA
"ojt_jsa*married","ojt_jsa*hsorged",NA,NA,NA
"ojt_jsa*hsorged","ojt_jsa*wkless13",NA,NA,NA
"ojt_jsa*wkless13","f2sms",NA,NA,NA
"f2sms","f2sms*married",NA,NA,NA
"f2sms*married","f2sms*hsorged",NA,NA,NA
"f2sms*hsorged","f2sms*wkless13",NA,NA,NA
"f2sms*wkless13","cubicthesholdhsorged40",NA,NA,NA
"cubicthesholdhsorged40","cubicthesholdwkless1320",NA,NA,NA
"cubicthesholdwkless1320",NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
