"q15","q25","q50","q75","q85"
"inc","inc","age","age","inc"
"age","fsize","fsize","fsize","age"
"fsize","ira","ira","ira","fsize"
"ira","hmort","hmort","hmort","ira"
"hmort","hequity","hequity","hequity","hmort"
"hequity","educ","educ","inc^2","hequity"
"educ","ira^2","ira^2","fsize^2","inc^2"
"ira^2","fsize^3","hmort^2","hmort^2","fsize^2"
"educ^2","hmort^3","fsize^3","inc^3","ira^2"
"inc^3","educ^3","ira^3","age*ira","hmort^2"
"fsize^3","age*educ","hmort^3","age*educ","fsize^3"
"hmort^3","age*hmort","hval^3","age*hmort","hmort^3"
"hval^3","age*hequity","age*fsize","age*hequity","hval^3"
"age*fsize","age*inc","age*ira","age*inc","age*fsize"
"age*ira","fsize*educ","age*educ","fsize*educ","age*ira"
"age*educ","fsize*hequity","age*hmort","fsize*hequity","age*educ"
"age*hmort","fsize*inc","age*hequity","fsize*inc","age*hmort"
"age*hequity","ira*hmort","age*inc","ira*hequity","age*hequity"
"age*inc","ira*hequity","fsize*ira","ira*inc","age*inc"
"fsize*hequity","ira*inc","fsize*educ","educ*hmort","fsize*educ"
"fsize*inc","educ*hmort","fsize*hmort","educ*hequity","fsize*hequity"
"ira*hmort","educ*hequity","fsize*hequity","hmort*hequity","fsize*inc"
"ira*hequity","educ*inc","fsize*inc","hmort*inc","ira*hmort"
"ira*inc","hmort*hequity","ira*hmort","hval*inc","ira*hequity"
"educ*hmort","hmort*inc","ira*hequity","marr","ira*inc"
"educ*hequity","hval*inc","ira*inc","db","educ*hmort"
"hmort*hequity","marr","educ*hmort","hown","educ*hequity"
"hmort*inc","db","educ*hequity","hs","educ*inc"
"hval*inc","hown","educ*inc","smcol","hmort*hequity"
"marr","hs","hmort*hequity","col","hmort*inc"
"db","smcol","hmort*inc","male","hval*inc"
"hown","col","hval*inc","i2","marr"
"hs","male","marr","i3","db"
"smcol","i2","db","i4","hown"
"col","i3","hown","i5","hs"
"male","i4","hs","i6","smcol"
"i2","i5","smcol","i7","col"
"i3","i6","col","a1","male"
"i4","i7","male","a2","i2"
"i5","a1","i2","a3","i3"
"i6","a2","i3","a4","i4"
"a1","a3","i4","pira","i5"
"a3","a4","i5","twoearn","i6"
"a4","pira","i6","marr*inc","i7"
"pira","twoearn","i7","marr*age","a1"
"twoearn","marr*inc","a1","marr*fsize","a2"
"marr*inc","marr*age","a2","marr*hmort","a3"
"marr*age","marr*fsize","a3","marr*hequity","a4"
"marr*fsize","marr*ira","a4","marr*educ","pira"
"marr*ira","marr*hmort","pira","pira*inc","twoearn"
"marr*hmort","marr*hequity","twoearn","pira*age","marr*inc"
"marr*hequity","marr*educ","marr*inc","pira*fsize","marr*age"
"marr*educ","pira*inc","marr*age","pira*hmort","marr*fsize"
"pira*inc","pira*age","marr*fsize","pira*hequity","marr*ira"
"pira*age","pira*fsize","marr*hmort","pira*educ","marr*hmort"
"pira*fsize","pira*hmort","marr*hequity","twoearn*inc","marr*hequity"
"pira*hmort","pira*hequity","marr*educ","twoearn*age","marr*educ"
"pira*hequity","pira*educ","pira*inc","twoearn*ira","pira*inc"
"pira*educ","twoearn*inc","pira*age","twoearn*hequity","pira*age"
"twoearn*inc","twoearn*age","pira*fsize","twoearn*educ","pira*fsize"
"twoearn*age","twoearn*fsize","pira*hmort","powerthesholdage20","pira*hmort"
"twoearn*fsize","twoearn*ira","pira*hequity","powerthesholdinc20","pira*hequity"
"twoearn*ira","twoearn*hmort","pira*educ","thesholdinc20","pira*educ"
"twoearn*hmort","twoearn*hequity","twoearn*inc","cubicthesholdeduc60","twoearn*inc"
"twoearn*hequity","twoearn*educ","twoearn*age",NA,"twoearn*age"
"twoearn*educ","cubicthesholdage60","twoearn*fsize",NA,"twoearn*fsize"
"cubicthesholdage40","cubicthesholdage20","twoearn*ira",NA,"twoearn*ira"
"cubicthesholdage60","powerthesholdage20","twoearn*hmort",NA,"twoearn*hmort"
"cubicthesholdage20","thesholdage40","twoearn*hequity",NA,"twoearn*hequity"
"powerthesholdage40","thesholdage20","twoearn*educ",NA,"twoearn*educ"
"powerthesholdage20","powerthesholdinc20","cubicthesholdage40",NA,"cubicthesholdage60"
"thesholdage40","thesholdinc20","cubicthesholdage60",NA,"powerthesholdage20"
"thesholdage20","cubicthesholdeduc60","powerthesholdage20",NA,"thesholdage60"
"cubicthesholdinc20","thesholdeduc20","thesholdage40",NA,"cubicthesholdinc20"
"powerthesholdinc20",NA,"thesholdage20",NA,"powerthesholdinc20"
"cubicthesholdeduc40",NA,"cubicthesholdinc60",NA,"thesholdinc20"
"cubicthesholdeduc60",NA,"cubicthesholdinc20",NA,"cubicthesholdeduc40"
"thesholdeduc40",NA,"powerthesholdinc40",NA,"cubicthesholdeduc60"
NA,NA,"thesholdinc40",NA,"powerthesholdeduc60"
NA,NA,"thesholdinc20",NA,"thesholdeduc40"
NA,NA,"cubicthesholdeduc60",NA,"thesholdeduc20"
NA,NA,"cubicthesholdeduc20",NA,NA
NA,NA,"powerthesholdeduc60",NA,NA
NA,NA,"powerthesholdeduc20",NA,NA
NA,NA,"thesholdeduc40",NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
