"grid","q10","q15","q20","q25","q30","q35","q40","q45","q50","q55","q60","q65","q70","q75","q80","q85","q90"
0,27.8163209890002,57.4152254504859,80.023790931859,106.188822801101,139.407024186149,156.92714929756,82.3051448891077,188.892940150754,44.079131271135,51.2388092659002,50.5446918877019,175.769841330356,174.043445217401,153.668565999078,117.778541556119,71.4825246111783,39.6075674182139
100,25.3956347785007,51.8435820207353,72.2342888203888,103.473998732837,137.74587235835,153.270379628041,138.078539311722,98.891379584138,169.086591361958,95.2524049246056,46.9179064392172,170.766983355093,167.373925488467,135.898578416282,109.734138235058,69.2644419034309,42.1397610759906
200,24.5010754455467,48.0700598718032,65.4763376001271,97.8836891378614,138.454244452568,136.561688101816,82.5381611852998,128.659671070303,170.410296114633,43.6888213118265,176.904959677851,169.239832844582,112.044239826448,146.123425148385,95.3291832251475,70.5286563137533,35.9070356185701
300,24.3696617420191,45.550621062539,57.0126188225,91.3475075077635,136.892513407444,127.642416913921,85.595447287415,123.578277267966,46.1343865481353,164.672198721867,168.456779531742,58.3019661730945,164.499647688946,143.685219652842,111.926216182764,66.3869955234564,38.3665174368876
400,24.1864182352698,44.7132220839326,59.0936965594771,94.4531843118746,122.124856600162,123.987559697428,156.539763280691,58.4247647188713,45.2537431193677,155.88247497193,38.0384373721053,160.465393553622,95.232986172224,124.614706903043,104.683875653714,70.165087161773,38.208662097704
500,21.050353074649,40.5668364147896,51.24677355649,90.3152085894274,113.869509282478,121.139215995462,90.2107600268622,56.1139119042793,65.4001156738003,157.397633027104,35.2306517830078,36.5133910811871,152.399714130918,125.496239925985,94.6724369830705,71.8019417481528,37.3194416414737
600,18.4261452476007,34.2950341517133,50.6551901716285,81.5348363716718,105.744601665318,115.123668682607,101.904698150104,147.458689804624,41.7992711839141,148.830247525664,153.322325148871,154.451906397493,150.737917167322,136.779552820188,93.6713597322769,64.2397674285156,26.6764330167812
700,22.3434569823993,31.5113761546769,45.4803342185862,81.7507915095593,103.856932870973,114.236497473989,59.1876408439058,145.531321411647,40.0635810156455,30.8600232350251,33.0738425155193,38.9367618493634,149.244671046913,117.928608736944,107.462874938315,62.2641241895673,38.2542596604174
800,18.7691673881337,33.8791629854122,45.6574748591451,72.0043883830444,90.9681482603323,107.647081369539,110.009050925265,140.515677077484,37.4865308145838,139.175615884605,147.138855254214,141.975891641948,147.457834836468,113.124067610848,102.085024795838,59.2340743053653,37.8892320041811
900,15.29547254062,29.5047396668052,42.5669377319535,63.1320885280624,86.9311694281748,88.812455546757,72.2317430826339,128.384057710239,127.382099946869,129.52298915379,23.3425127022793,32.8418386946451,138.967174491517,105.152779245568,105.2165271989,58.2264828396428,36.3223367342586
1000,16.5566508370345,26.5274772524217,37.2623409353136,56.0908047769624,87.4187959147791,66.8306739229829,113.214352149538,41.3245445990751,128.158721689722,127.717918029005,137.526095203044,138.874096009574,143.298201057229,118.91440329167,96.8395337407434,63.873727641221,33.9777744881553
1100,13.0250733087359,23.3634924693615,33.1748296699606,56.52534641972,76.1329395499762,104.523323596876,58.7931701159053,60.4063014083435,125.276010891138,131.052563189395,135.778177795984,33.0669275791405,133.317915605364,98.7866413989313,76.1897388115473,59.6539976253983,32.6325601377847
1200,12.8889953912457,26.3923495536494,31.1154942562819,49.0079743135722,71.4740519473311,85.3640583105964,97.3708279933551,110.908943417773,35.380672674647,122.818893330836,126.250360088976,126.627690699104,128.641406014667,102.513460160916,96.9201928327704,59.6553516056817,36.0045554449202
1300,11.7518432265107,18.6217716583488,25.6715576627435,52.9537330593207,71.9100359653649,74.3324283382457,70.0481542416438,83.3479739218158,120.19046665316,115.978691060872,24.4936801332237,121.184059749011,53.7606246981944,103.420539152423,89.4405577554961,55.6399369829845,21.6932587036964
1400,9.44666590422769,16.770048658144,25.1240114308125,46.2227443051667,69.5326255072364,62.6047694419772,23.4870902106612,56.3868735260473,32.2634426046314,33.3254764674833,23.9786987144436,26.2625143823443,58.8740066282789,116.913622531129,89.7217480038619,44.0411993774167,23.6767278539314
1500,7.9791232030709,16.7322955107531,22.465359859759,41.6149137613076,60.830770209117,66.4386853794118,83.9219105661963,100.852910255203,106.090326622115,32.4093971561242,119.953830179943,114.684983579906,56.0927317045583,103.973473904394,90.6001175201796,52.5098356719561,29.282558490206
1600,5.6592247827477,15.4166463714183,22.2065644726434,39.7097264119684,57.6083159942316,80.372555465675,47.0664188064662,99.256421807524,31.9160330837479,107.280913734717,21.8804462348922,24.2018262040824,41.4087209275478,69.9237339129671,79.6329324716823,52.7561237842012,27.2471661405653
1700,5.61701396896156,13.2138889614103,17.8018225039051,35.6425598843541,49.8498202950394,69.5315215624079,34.5757875647985,56.6674590861425,104.23373460871,27.4128461708684,116.723626299594,48.8160220749988,121.829330368306,93.2538861223361,84.5111221540846,49.0667668054992,30.2620529716297
1800,3.55394621098023,10.111328133771,14.6364375496422,29.4088812938578,49.2710083340541,54.2932383426723,67.9650669525256,96.3587519185536,98.3396459007268,95.8842896030331,114.713979957848,98.9963942740914,113.831631548277,98.4538942409306,75.1384931636512,51.3711669134332,33.1238024789976
1900,2.33950087209938,8.60243052234112,12.4416389132357,28.5942305164068,44.3079472637756,53.9122252531688,42.0060927977094,28.2388714405295,23.387074441227,53.3161780272189,109.210317283811,100.455185092958,112.839979355608,88.0695344702242,75.3295270270675,50.2208062000454,29.7097549459709
2000,2.92538625206532,8.98791616116177,10.673031742363,26.3551234364185,36.3718245445889,46.8689086689625,65.7829380380669,46.8375880458407,89.63802450044,27.1395207528665,107.779878368515,95.1405204753738,110.673469195242,93.9203980147319,76.7927298379804,55.7358165727172,20.7421237687426
2100,1.7270826179529,4.79863581409441,7.72960902814053,23.9717144080991,34.509853159397,42.8241120914126,31.3589954484446,44.8867131044113,25.1303887038176,23.5567256849034,103.334442062769,94.2946243199629,107.242617519422,85.1925982136962,62.9555174702779,47.2192317290035,26.6025977841733
2200,1.03884912323639,4.11980390270043,7.9264213172381,17.4995465779492,31.1967944011594,43.0293050875467,15.7102027841828,81.5930527967578,78.9938886755516,84.4230612437105,99.7307912321347,20.2709105725862,87.8238437256997,78.019191634538,71.9136024612092,36.7329288023598,25.6131801633607
2300,1.03714821140502,4.57703379068561,6.23513841271359,16.1981800063933,28.2016678584868,30.9863844188564,25.8255413550351,28.7948811739211,25.4368463864704,20.4426336429179,16.8036510103075,23.7262055243913,32.4192134405197,62.6915876995568,74.908267513282,32.7467956151846,18.4343389621244
2400,0.907499912431007,3.49272009105521,3.57709789220988,13.5168565391142,23.5346852977598,37.968383985459,51.9017577874465,70.1603213665236,36.1494767199928,22.2819582849672,87.8679671790885,82.2687319490878,38.6694072625174,82.3565027454723,70.6038755921769,42.4281415215989,23.9159633945575
2500,0.583517200661241,2.33893531701395,2.29167952458582,11.7317826711918,20.3812092965806,25.5386619384543,49.1985480050376,41.6987033303682,36.6299778779823,16.6952564369791,15.0372088234387,17.1141540169751,99.4215159604419,80.9140081789567,57.7999319556952,28.7713601989365,24.5238040026255
2600,0.0798502947221312,1.30895960117536,3.12352123440333,9.5124312194603,21.1799590102142,31.1106845874258,47.6504168320981,61.6934226298708,64.827924391666,70.093334640166,19.9010489415219,81.6366355105803,21.1769504703955,74.9379723785742,53.1479196283593,42.9180590320139,17.4187469803501
2700,0.0700908963120679,0.660311009232672,1.44124312546097,7.08162479530491,16.9707445741853,28.1197447155971,33.9832384440146,61.9457257725039,20.5375804143311,66.4580079630064,17.7326609997084,18.4337862627923,57.6748489890825,77.3547428364452,61.6220596317499,36.0751243037387,17.6728531424727
2800,0.0795614851395122,0.146552040416976,1.0688623126174,5.98445445810466,14.1562651510044,28.9301436496251,22.6031416574945,40.8288738549606,34.4911072371624,63.0655597713672,78.0466747552768,76.8989669710314,82.9414442958548,56.866660935702,56.1728278129749,42.6375436102514,22.1273953084077
2900,0.0762942839612003,0.0096348752769248,0.667501155465634,5.57399386758174,13.8861647865303,23.3018642686524,39.7279320031304,56.8373678874294,59.2774467739619,18.3858405312828,14.9603689865675,72.77703683395,17.6109552077496,72.2207869716987,48.7608368793222,32.9004844023377,21.3981127435119
3000,0.22478623289159,0.0756284342222009,0.328122370677534,5.13616245470184,12.4875190332087,25.1758533968929,37.6050022262785,14.5132386828404,19.0665502828266,19.6739647437134,14.458028347808,69.1512755839017,21.5433074702904,56.5014847243626,48.8419474016969,30.9625595573229,20.6213158093696
3100,0.714202672551415,0.0755987200580653,0.396370935101847,2.68753230323648,9.85084601465359,15.3996962450765,21.314235030665,50.725050412034,54.2138420796176,18.3298443325419,71.73459868702,72.0757429267078,83.7159382557424,37.5801125902672,48.8175884692316,35.8790071129558,17.9301120842
3200,0.925482973213061,0.0767693693650397,0.0165384135904214,2.48733794789879,9.69358470197388,22.3516425155287,28.0742093244081,13.1461896072472,50.3437844069342,47.0971778295393,18.9278798952116,15.8969202775999,55.7788560078449,35.5753984271279,52.6248263315781,32.316010482001,15.7363749804771
3300,2.45716298979,1.14909864312815,0.114686993669394,1.27950173795662,7.059503511132,21.0548994976937,32.6379962554484,43.3103387687625,48.8383911966431,16.1644736230106,65.6227319195285,64.8284955897368,79.4759402568837,67.2743700642658,51.0399178032063,34.5635670249288,18.054945819705
3400,1.56811379273777,1.34807318617073,0.0230094894932592,0.884242851221595,7.43315153207917,16.6303327596143,29.7103225478876,41.8358490568792,21.909921055522,15.782692786605,65.1075299094071,62.0955676777367,25.3555340704465,64.6426471173057,47.7673337130521,28.4279370297268,20.2235411648726
3500,2.87015621815317,2.01045405212563,0.0198294916149188,0.550919308104047,5.00915463599829,17.9593335222763,25.8063338374463,39.1441074625851,42.9919452464089,41.201817422431,60.209802247621,61.5059713212077,26.6862190454762,32.2622437573058,44.8587506811511,28.7836326147553,16.1341751032632
3600,4.68094206450695,2.93284365939549,0.308284646776821,0.139128499599956,4.42366672714923,15.800259594438,23.8380259367907,35.5906046648827,18.0031910044681,40.6756071775436,49.1847373572039,25.3572474567055,23.2310686706075,39.7953000945392,45.1580937800302,33.1826757813029,19.0354594189004
3700,7.1704046235037,3.42178704234873,1.42643035918068,2.57227448708725e-05,3.05659491590736,14.1199547681695,13.7601780973317,34.9409253600211,13.6729442841667,17.7141672491836,57.6029402032004,55.6388779348795,62.6013446840739,33.3152495768402,50.4885511289726,31.9531738961884,16.1778634120058
3800,4.77352949444882,4.87737928664144,1.74746612331481,0.0109400828342227,3.24320733209445,12.4398614230131,20.9289331065472,14.0646200489128,39.0107614968236,14.9039737980241,16.1212516716281,19.1356754720241,71.2762680108671,39.663548422893,44.2139267237311,27.892433894319,18.0474743799927
3900,7.83861218250154,5.93757378825954,1.65344420720284,0.145380519291966,1.1324956209047,9.56843106323698,19.5889847236239,28.0954593764839,15.8942162955919,34.6065441999,55.4075896164823,25.4341120823298,53.402526301799,22.5546383292384,45.0012331774997,27.0965113361318,16.7404080519079
4000,8.15052431945911,7.29019207253358,2.39855526060679,0.437616295780137,1.07349183724848,11.2798929527329,15.1177110016298,26.6679074642498,32.7594980234119,31.046292569493,12.2372235748968,17.5001656643326,22.7261333828263,26.0430239904536,43.5556730323273,26.8025342307128,14.5630824563583
4100,10.2830533436846,8.26003582313363,3.11020201179969,0.746159290939564,0.393541772073348,6.88705100971676,10.8518938475825,13.123494320399,33.5029093327412,31.2695078520798,14.4507788561221,50.0467369472702,66.2691218353798,53.3162425339436,41.3116348934977,27.4676437791691,12.7858182417708
4200,13.8151483808588,8.54834266829817,4.23584156179849,1.83306634294735,0.407361266300161,7.80146038972837,11.7325637753588,23.1963797768698,28.4872554162239,26.9715873757767,11.3064707864303,47.9317614640248,21.3440475910219,24.6691680716809,43.4501854380862,26.925326333632,16.1607501840655
4300,16.7120865974052,10.0730846450954,5.78022867356307,2.48026325542039,0.0613312517615926,7.42209882337994,12.5944810021966,18.7832371959142,15.5936429266092,28.2001799784126,10.7595229725496,47.9129551159131,28.8571170950027,52.9471782884779,44.6599887035706,26.2106750114803,12.993274992208
4400,15.2362043466751,12.0560975363619,6.31078792559404,2.03454167928472,0.0219816560436096,5.54592827964066,13.1473788959408,18.281728644433,12.3546124325871,24.8573413512185,45.4076902931373,45.2172414854063,60.5322191449959,47.7437265815355,38.1136576208631,24.7833855758195,14.3747445610177
4500,17.7445807750403,14.2886821314214,6.80290551287504,3.03832651382369,0.00449130117093233,4.46210690865004,2.84194087448632,17.0727313087188,25.1189889769166,18.8517541443321,39.3023659548221,15.9729886146116,22.9005174729207,49.3464377284507,32.6419617053137,23.5681582277751,15.2832895027123
