"grid","nfta10","grid.1","nfta15","grid.2","nfta20","grid.3","nfta25","grid.4","nfta30","grid.5","nfta35","grid.6","nfta40","grid.7","nfta45","grid.8","nfta50","grid.9","nfta55","grid.10","nfta60","grid.11","nfta65","grid.12","nfta70","grid.13","nfta75","grid.14","nfta80","grid.15","nfta85","grid.16","nfta90"
0,13.1745152846361,0,42.6317363768757,0,65.8288538736588,0,107.802168987018,0,159.417292995748,0,166.462989381967,0,188.051272822555,0,187.443142283969,0.05,8.67018704925544,0.05,15.5185618811615,0.05,21.4540503565707,0.05,26.4060074401315,0.05,29.3900653503909,0.05,28.3399161325304,0.05,17.1094113224435,0.05,9.20455153568001,0.05,8.42695266526379
0.001,12.1401693331599,0.001,41.4641374725043,0.001,61.3054219976018,0.001,103.443379049678,0.001,152.783131644796,0.001,157.141046419837,0.001,179.044887684898,0.001,184.666578093626,0.051,7.66536959542322,0.051,14.0716550383429,0.051,21.2206045831592,0.051,24.4941772583357,0.051,33.6547419466508,0.051,27.1342806803152,0.051,16.193573288912,0.051,9.26701407935743,0.051,7.80558859720018
0.002,11.2194052934026,0.002,39.6619788328704,0.002,57.3008529995297,0.002,96.8177169644974,0.002,143.404073165615,0.002,154.701569983983,0.002,174.766543133373,0.002,174.093699470218,0.052,6.95100656908431,0.052,12.4768260095477,0.052,18.9030780120573,0.052,23.8331072113813,0.052,25.9010225618421,0.052,25.4927882259313,0.052,16.0145782005047,0.052,9.32696332310154,0.052,8.03918417729857
0.003,11.2111614206963,0.003,35.4883738375173,0.003,52.6021082728728,0.003,91.5704261141191,0.003,134.658020606771,0.003,147.266150369398,0.003,164.879104833858,0.003,167.646497293832,0.053,6.08870431041455,0.053,11.1887888987077,0.053,17.580834487759,0.053,23.0223964562393,0.053,31.7245396556688,0.053,26.1438338552491,0.053,15.6113873049472,0.053,8.83054497505562,0.053,7.62478826806417
0.004,9.64390739671228,0.004,35.0793391737237,0.004,49.6217246305624,0.004,86.2365803233026,0.004,122.041690459206,0.004,138.521760153148,0.004,157.55921863736,0.004,154.878492600632,0.054,5.47793930020637,0.054,10.0786852171238,0.054,17.3523266286491,0.054,21.6710349507596,0.054,24.6411095106182,0.054,25.0009438031017,0.054,14.8859824462017,0.054,10.0050699828858,0.054,7.61641947556236
0.005,9.18778697707921,0.005,34.812259232404,0.005,47.2739587859638,0.005,80.7200708381377,0.005,114.809852729873,0.005,129.428230710012,0.005,151.963012432947,0.005,152.738652964429,0.055,4.98512102686315,0.055,8.6426759138654,0.055,16.1412604970622,0.055,20.1967235095739,0.055,25.6556568958258,0.055,22.6280984579001,0.055,14.1275049972657,0.055,9.50545403035734,0.055,8.01898514854512
0.006,8.202393433127,0.006,30.447827170224,0.006,42.4641798614609,0.006,76.8628385935109,0.006,108.978787538432,0.006,124.615160450965,0.006,143.690920370352,0.006,143.885875920379,0.056,4.15466006344896,0.056,7.99138579819177,0.056,15.5640000303222,0.056,19.1097561023809,0.056,25.2952044970095,0.056,23.2941466635023,0.056,14.7929549043199,0.056,9.08732310726765,0.056,6.83015447974089
0.007,7.03513964117877,0.007,27.5761797851086,0.007,39.1571422827478,0.007,72.5138422489353,0.007,99.6282033849448,0.007,118.115975785973,0.007,136.287259650334,0.007,137.958934181913,0.057,4.02755152685784,0.057,7.70071539069173,0.057,11.8317135196372,0.057,19.2094533965778,0.057,24.7368866436629,0.057,21.653910374737,0.057,15.2619691371821,0.057,9.44321413626608,0.057,6.77076255458762
0.008,6.594593302978,0.008,25.741000999008,0.008,35.9578167811064,0.008,65.1032775688864,0.008,93.5457635829881,0.008,111.517647026647,0.008,130.930908511749,0.008,128.785238919238,0.058,3.325682946369,0.058,6.03527718765417,0.058,11.9685133656565,0.058,16.6077523229836,0.058,22.2818410583978,0.058,21.8669080068889,0.058,14.1112719640394,0.058,9.29978954889393,0.058,6.3846669445316
0.009,6.00362617921528,0.009,22.3627965479121,0.009,34.8766238231778,0.009,61.0800568726349,0.009,86.1153773942974,0.009,105.594574046154,0.009,123.435862351538,0.009,122.410512448183,0.059,2.73039257044564,0.059,5.34252754906244,0.059,11.22874455594,0.059,15.6444295093558,0.059,21.2928740446053,0.059,21.7475946192463,0.059,14.2943061126448,0.059,8.83982857368453,0.059,6.86802388424401
0.01,5.53517234266691,0.01,20.1597134680085,0.01,30.668490314242,0.01,54.7068898742285,0.01,74.685980839289,0.01,99.9075303774283,0.01,117.532721682141,0.01,120.245824563485,0.06,2.11331684858485,0.06,5.0251192204367,0.06,10.9854436684118,0.06,15.7893112374853,0.06,24.4241561991603,0.06,21.5197478809268,0.06,14.3687979509682,0.06,8.65562408031193,0.06,7.61471253557726
0.011,4.53788084197639,0.011,18.5070102388633,0.011,26.9098101325804,0.011,50.0375178061788,0.011,68.5900194430888,0.011,92.7129481034428,0.011,112.837765150017,0.011,114.119161406013,0.061,1.59323034093539,0.061,4.33489965787076,0.061,9.96144993846287,0.061,14.209728405599,0.061,20.9176060295527,0.061,19.1550031370703,0.061,13.8862823517875,0.061,8.47170849007664,0.061,7.39044835955809
0.012,4.31263594270755,0.012,16.8910934498765,0.012,25.0341216302253,0.012,46.0764893231511,0.012,61.7063514713799,0.012,88.6689818438875,0.012,107.563415827844,0.012,107.130468466858,0.062,1.41484332082514,0.062,3.57593913071971,0.062,9.13537055261448,0.062,14.4245422490974,0.062,20.1278814401446,0.062,20.414071209827,0.062,13.5517751432794,0.062,8.10866923257922,0.062,6.71907583874965
0.013,3.05631180061727,0.013,14.9092550389207,0.013,22.1747598454055,0.013,41.2213842971719,0.013,53.0281769796748,0.013,81.3172330256218,0.013,99.5038916498806,0.013,104.610111334772,0.063,1.14832672916423,0.063,2.96099504840903,0.063,8.32445219247729,0.063,12.9563804142598,0.063,16.8019105052745,0.063,16.2740281506193,0.063,12.5714200876334,0.063,9.14647949068211,0.063,6.56361395340216
0.014,2.32808226516569,0.014,11.8087352519231,0.014,19.7981743859549,0.014,34.784175620943,0.014,49.1333068965965,0.014,77.7540863130442,0.014,92.2102216657272,0.014,102.055490768126,0.064,1.13351757395322,0.064,2.30878688049109,0.064,7.81724467035728,0.064,11.882029389763,0.064,15.8706961883594,0.064,19.2570481332484,0.064,12.3942683366466,0.064,7.86606171891314,0.064,7.258671804486
0.015,1.46588622754466,0.015,10.0923317182788,0.015,16.2794059047149,0.015,28.1047166810159,0.015,45.1189250239169,0.015,74.6204147949805,0.015,88.6490427615183,0.015,95.2299770358698,0.065,0.799886783904281,0.065,1.95081022764449,0.065,6.53651938882386,0.065,11.8923042711148,0.065,14.7165134314184,0.065,18.7393618938373,0.065,11.6056445950706,0.065,7.76321889921762,0.065,7.05469672601988
0.016,0.96411539754214,0.016,8.96023459677547,0.016,13.495765161213,0.016,24.4725714745855,0.016,42.4614868202747,0.016,70.5308164458832,0.016,81.9151131867205,0.016,91.6173389050966,0.066,0.524786563575306,0.066,1.51438075179255,0.066,5.53920489443468,0.066,10.8683150962145,0.066,15.1346563029672,0.066,17.5314663500528,0.066,12.161546871049,0.066,7.46041239625142,0.066,4.9022494361353
0.017,0.738319576922249,0.017,5.47220946261757,0.017,12.0134127172642,0.017,19.8550612885109,0.017,39.4041982854026,0.017,65.1429708751282,0.017,80.7350373237615,0.017,88.7358728588994,0.067,0.274275357078591,0.067,1.17989580865632,0.067,5.30107135658793,0.067,10.1211379357784,0.067,17.1081540186774,0.067,16.6464565806426,0.067,12.1155513905749,0.067,7.63172017953936,0.067,6.81957435324136
0.018,0.459538036675212,0.018,5.52672620290771,0.018,9.37824549798373,0.018,16.3811893978002,0.018,37.7726180214132,0.018,63.8206798543467,0.018,74.5430086388327,0.018,81.7000873938431,0.068,0.132150808878008,0.068,0.606957682130431,0.068,4.83711174055566,0.068,9.49489577680525,0.068,13.6200579764328,0.068,15.7754200657301,0.068,11.5803353457494,0.068,6.33808397467633,0.068,6.85769843245742
0.019,0.341012352592771,0.019,4.23685351880977,0.019,7.30987182383678,0.019,12.5913251000862,0.019,32.9444078285731,0.019,57.7035504775156,0.019,68.3457120156953,0.019,74.1167700895541,0.069,0.0705764606141136,0.069,0.567051050169621,0.069,3.60051422278512,0.069,8.26141957028727,0.069,12.1389188906439,0.069,15.7098075532867,0.069,11.298847120428,0.069,7.17271407326036,0.069,6.33631990683813
0.02,0.0751451465116567,0.02,3.53461880528626,0.02,5.98582021905447,0.02,10.7064391652954,0.02,26.3335261671665,0.02,51.7437004881557,0.02,62.7117211852564,0.02,70.9873039375771,0.07,0.0114382891259489,0.07,0.332958012387764,0.07,3.15595750341359,0.07,7.54805651189287,0.07,11.9525201557153,0.07,15.1926196596333,0.07,11.2697159005522,0.07,6.19552401628676,0.07,6.1528220694772
0.021,0.00611787354436851,0.021,2.78597131559141,0.021,4.64488734152244,0.021,8.70474240016305,0.021,24.2898757205622,0.021,47.7064168639167,0.021,55.0451220042749,0.021,67.5296082320934,0.071,0.0237723927780223,0.071,0.181690790090855,0.071,2.94709195802182,0.071,7.3667925536787,0.071,12.0410774188194,0.071,15.1706443920848,0.071,11.8621364042313,0.071,6.11596065455112,0.071,6.08167427878063
0.022,0.00626617977935719,0.022,2.21699167403575,0.022,2.95201658601721,0.022,7.19654211616152,0.022,22.5168609547214,0.022,44.6925423102553,0.022,51.2301258044686,0.022,66.3869374545377,0.072,0.12102074102253,0.072,0.0577738285386382,0.072,2.30727445098483,0.072,5.57930126973414,0.072,14.0627131347709,0.072,11.602745959748,0.072,11.4173274761042,0.072,6.07164240870258,0.072,5.5373775082559
0.023,0.0784787391615519,0.023,1.29195027608897,0.023,1.839751655941,0.023,5.98179605269187,0.023,20.953037454457,0.023,41.7092961667362,0.023,46.9314888098856,0.023,61.7633448912344,0.073,0.280952049108689,0.073,0.00695615152787317,0.073,2.28997718079153,0.073,5.29476275930026,0.073,10.4791766469408,0.073,14.6388856476722,0.073,11.3645915938805,0.073,5.99306529805181,0.073,5.45034165616677
