"item","rmse","mae"
"exact10","0.121921020263203","0.0950482504871361"
"exact25","0.0812312948631073","0.0654122459952941"
"exact50","0.0689927532426414","0.0436"
"exact75","0.0828433066904718","0.0676326559874508"
"exact90","0.139128471215115","0.10671031310892"
"nonexact10","0.163169601881902","0.113828950292282"
"nonexact25","0.0963886319244875","0.0754244919905881"
"nonexact50","0.0801249024960405","0.0542"
"nonexact75","0.114671452299303","0.0848734670101963"
"nonexact90","0.348146934071943","0.196715801169127"
"fullgmm10","0.391753387806371","0.344208140106178"
"fullgmm25","0.16461750635813","0.136110178111374"
"fullgmm50","0.103826778819339","0.0754"
"fullgmm75","0.17474221413596","0.145232629102747"
"fullgmm90","0.432021176534995","0.368188839911324"
"hdm10","0.137612791224783","0.10850823209031"
"hdm25","0.0991975517449701","0.0804204010305888"
"hdm50","0.0775886589650833","0.051"
"hdm75","0.093013895542336","0.0741387789850979"
"hdm90","0.164926018388931","0.12315307553585"
